raw_index,session_file,session_path,session_rel_path,session_source_dir,session_id,dbase_fileID,condition,condition_primary,social_context,drug,dreadd_target,dreadd_control_cohort,arena,arena_label,mouse_codes,mouse_type_1,mouse_type_2,mouse_type_3,n_animals,effective_n_animals,animal_keep_indices,animal_finite_fraction,animal_qc_status,animal_qc_notes,n_frames,n_nodes,n_coords,has_scores,score_dims,has_excluded_frames,excluded_frame_count,file_bytes,include_block1_dyadic,include_motif_discovery,motif_exclusion_reason,include_block2_egocentric,paper_include,exclusion_reason,file_modified,raw_database_file,manifest_schema_version,manifest_generated_by,condition_id,condition_raw,dyad_condition,condition_label,dyad_condition_label,condition_family_id,condition_family,condition_family_label,mouse_pair_label,arena_display_label,social_context_label,drug_label,dreadd_target_label,cohort_id,cohort_label,cohort_short_label,cohort_condition,cohort_condition_label,cohort_definition_source,cohort_definition_note,defined_contrast_set,defined_contrast_label,include_defined_primary_big_contrast,include_defined_primary_small_contrast,include_defined_wtwt_arena_contrast,include_defined_anesthetized_context,include_defined_pfc_chemogenetic,include_defined_dcn_chemogenetic,arena_condition,arena_condition_label,analysis_group_id,analysis_group_label,plot_group_label,label_text_safe_for_matlab
1,session_0001.mat,session_0001.mat,session_0001.mat,files2run,session_2360,2360,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14085630,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:18,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
2,session_0002.mat,session_0002.mat,session_0002.mat,files2run,session_2361,2361,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14029838,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
3,session_0003.mat,session_0003.mat,session_0003.mat,files2run,session_2362,2362,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14024728,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
4,session_0004.mat,session_0004.mat,session_0004.mat,files2run,session_2363,2363,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13993200,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
5,session_0005.mat,session_0005.mat,session_0005.mat,files2run,session_2364,2364,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13734261,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
6,session_0006.mat,session_0006.mat,session_0006.mat,files2run,session_2365,2365,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14091483,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
7,session_0007.mat,session_0007.mat,session_0007.mat,files2run,session_2366,2366,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14071711,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:19,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
8,session_0008.mat,session_0008.mat,session_0008.mat,files2run,session_2367,2367,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14166989,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:20,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
9,session_0009.mat,session_0009.mat,session_0009.mat,files2run,session_2368,2368,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,14042759,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:20,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
10,session_0010.mat,session_0010.mat,session_0010.mat,files2run,session_2369,2369,WT,WT,single,none,none,0,B,big,1,WT,,,1,1,1,1,ok,,95998,13,2,1,95998x13,0,0,13892411,0,0,not_two_usable_animals,1,1,,04-Jun-2026 16:31:20,ALLPAIRS-Feb2025.mat,foundation_v2_label_safe,paper/run_01_manifest.m,WT,WT,WT,WT single,WT single,single_mouse,single_mouse,Single mouse,WT,Big arena,Single,None,None,cohort1_single_mouse,Cohort 1 big arena WT single baseline,C1,cohort1_single_mouse:WT,C1 WT single,user_2026_06_25,single-mouse baseline retained for egocentric/social-context analyses,single_mouse_baseline,Single mouse baseline,0,0,0,0,0,0,big:WT,Big arena WT single,cohort1_single_mouse|big|WT,Cohort 1 big arena WT single baseline,C1 big WT single,1
